year,sgis_si,sgis_gu,road_stts,road_len,road_area,road_rt
1979,서울시,소계,계,6556800,-,
1979,서울시,소계,미포장,2242500,-,
1979,서울시,소계,포장,4314300,-,
1980,서울시,소계,계,6610400,-,
1980,서울시,소계,미포장,2119500,-,
1980,서울시,소계,포장,4490900,-,
1981,서울시,소계,계,6684300,-,
1981,서울시,소계,미포장,2062300,-,
1981,서울시,소계,포장,4622000,-,
1982,서울시,소계,계,6738600,-,
1982,서울시,소계,미포장,1907000,-,
1982,서울시,소계,포장,4831600,-,
1983,서울시,소계,계,6777300,-,
1983,서울시,소계,미포장,1901700,-,
1983,서울시,소계,포장,4875600,-,
1984,서울시,소계,계,6843400,-,
1984,서울시,소계,미포장,1664000,-,
1984,서울시,소계,포장,5179400,-,
1985,서울시,소계,계,6974800,-,
1985,서울시,소계,미포장,1572900,-,
1985,서울시,소계,포장,5401900,-,
1986,서울시,소계,계,7058000,-,
1986,서울시,소계,미포장,1511000,-,
1986,서울시,소계,포장,5547000,-,
1987,서울시,소계,계,7140800,-,
1987,서울시,소계,미포장,1492400,-,
1987,서울시,소계,포장,5648400,-,
1988,서울시,소계,계,7250000,-,
1988,서울시,소계,미포장,1465000,-,
1988,서울시,소계,포장,5785000,-,
1989,서울시,소계,계,7323000,-,
1989,서울시,소계,미포장,1285000,-,
1989,서울시,소계,포장,6038000,-,
1990,서울시,소계,계,7374000,-,
1990,서울시,소계,미포장,1138000,-,
1990,서울시,소계,포장,6236000,-,
1991,서울시,소계,계,7426700,-,
1991,서울시,소계,미포장,1113000,-,
1991,서울시,소계,포장,6313700,-,
1992,서울시,소계,계,7515900,-,
1992,서울시,소계,미포장,1112300,-,
1992,서울시,소계,포장,6403600,-,
1993,서울시,소계,계,7561429,-,
1993,서울시,종로구,계,249663,-,
1993,서울시,중구,계,97497,-,
1993,서울시,용산구,계,265622,-,
1993,서울시,성동구,계,699892,-,
1993,서울시,동대문구,계,301196,-,
1993,서울시,중랑구,계,291719,-,
1993,서울시,성북구,계,593662,-,
1993,서울시,도봉구,계,468082,-,
1993,서울시,노원구,계,237669,-,
1993,서울시,은평구,계,321037,-,
1993,서울시,서대문구,계,284780,-,
1993,서울시,마포구,계,373667,-,
1993,서울시,양천구,계,384964,-,
1993,서울시,강서구,계,318983,-,
1993,서울시,구로구,계,424782,-,
1993,서울시,영등포구,계,370706,-,
1993,서울시,동작구,계,213980,-,
1993,서울시,관악구,계,303483,-,
1993,서울시,서초구,계,327839,-,
1993,서울시,강남구,계,414035,-,
1993,서울시,송파구,계,348061,-,
1993,서울시,강동구,계,270110,-,
1993,서울시,소계,미포장,1124020,-,
1993,서울시,종로구,미포장,5957,-,
1993,서울시,성동구,미포장,69702,-,
1993,서울시,동대문구,미포장,31498,-,
1993,서울시,중랑구,미포장,68242,-,
1993,서울시,성북구,미포장,131801,-,
1993,서울시,도봉구,미포장,63980,-,
1993,서울시,노원구,미포장,75661,-,
1993,서울시,은평구,미포장,75911,-,
1993,서울시,서대문구,미포장,34514,-,
1993,서울시,마포구,미포장,3937,-,
1993,서울시,양천구,미포장,90904,-,
1993,서울시,강서구,미포장,61363,-,
1993,서울시,구로구,미포장,116430,-,
1993,서울시,영등포구,미포장,37808,-,
1993,서울시,동작구,미포장,53287,-,
1993,서울시,관악구,미포장,43001,-,
1993,서울시,서초구,미포장,5140,-,
1993,서울시,강남구,미포장,68077,-,
1993,서울시,송파구,미포장,17117,-,
1993,서울시,강동구,미포장,69690,-,
1993,서울시,소계,포장,6437409,-,
1993,서울시,종로구,포장,243706,-,
1993,서울시,중구,포장,97497,-,
1993,서울시,용산구,포장,265622,-,
1993,서울시,성동구,포장,630190,-,
1993,서울시,동대문구,포장,269698,-,
1993,서울시,중랑구,포장,223477,-,
1993,서울시,성북구,포장,461861,-,
1993,서울시,도봉구,포장,404102,-,
1993,서울시,노원구,포장,162008,-,
1993,서울시,은평구,포장,245126,-,
1993,서울시,서대문구,포장,250266,-,
1993,서울시,마포구,포장,369730,-,
1993,서울시,양천구,포장,294060,-,
1993,서울시,강서구,포장,257620,-,
1993,서울시,구로구,포장,308352,-,
1993,서울시,영등포구,포장,332898,-,
1993,서울시,동작구,포장,160693,-,
1993,서울시,관악구,포장,260482,-,
1993,서울시,서초구,포장,322699,-,
1993,서울시,강남구,포장,345958,-,
1993,서울시,송파구,포장,330944,-,
1993,서울시,강동구,포장,200420,-,
1994,서울시,소계,계,7621605,-,
1994,서울시,종로구,계,251743,-,
1994,서울시,중구,계,98271,-,
1994,서울시,용산구,계,266084,-,
1994,서울시,성동구,계,701324,-,
1994,서울시,동대문구,계,302534,-,
1994,서울시,중랑구,계,292800,-,
1994,서울시,성북구,계,594992,-,
1994,서울시,도봉구,계,469209,-,
1994,서울시,노원구,계,242542,-,
1994,서울시,은평구,계,322396,-,
1994,서울시,서대문구,계,286382,-,
1994,서울시,마포구,계,377275,-,
1994,서울시,양천구,계,385624,-,
1994,서울시,강서구,계,339998,-,
1994,서울시,구로구,계,427230,-,
1994,서울시,영등포구,계,372181,-,
1994,서울시,동작구,계,217296,-,
