"year","road_type","road_nm","volume"
2018,"교량","행주대교",106390
2018,"교량","가양대교",124410
2018,"교량","성산대교",172458
2018,"교량","양화대교",149152
2018,"교량","서강대교",49422
2018,"교량","마포대교",125571
2018,"교량","원효대교",59184
2018,"교량","한강대교",96648
2018,"교량","동작대교",64761
2018,"교량","반포대교",104017
2018,"교량","잠수교",20720
2018,"교량","한남대교",210198
2018,"교량","동호대교",81785
2018,"교량","성수대교",132669
2018,"교량","영동대교",132724
2018,"교량","청담대교",129932
2018,"교량","잠실대교",99704
2018,"교량","올림픽대교",67865
2018,"교량","천호대교",83197
2018,"교량","광진교",16934
2019,"교량","행주대교",107366
2019,"교량","가양대교",122041
2019,"교량","성산대교",164357
2019,"교량","양화대교",142617
2019,"교량","서강대교",48469
2019,"교량","마포대교",118569
2019,"교량","원효대교",58536
2019,"교량","한강대교",96420
2019,"교량","동작대교",61915
2019,"교량","반포대교",100249
2019,"교량","잠수교",22277
2019,"교량","한남대교",206762
2019,"교량","동호대교",79357
2019,"교량","성수대교",137001
2019,"교량","영동대교",131171
2019,"교량","청담대교",131521
2019,"교량","잠실대교",100645
2019,"교량","올림픽대교",68804
2019,"교량","천호대교",83221
2019,"교량","광진교",16630
2020,"교량","행주대교",107742
2020,"교량","가양대교",117800
2020,"교량","성산대교",150404
2020,"교량","양화대교",142394
2020,"교량","서강대교",46184
2020,"교량","마포대교",103907
2020,"교량","원효대교",54803
2020,"교량","한강대교",93107
2020,"교량","동작대교",58610
2020,"교량","반포대교",94445
2020,"교량","잠수교",22673
2020,"교량","한남대교",188992
2020,"교량","동호대교",75111
2020,"교량","성수대교",128113
2020,"교량","영동대교",125476
2020,"교량","청담대교",127696
2020,"교량","잠실대교",96872
2020,"교량","올림픽대교",68782
2020,"교량","천호대교",69362
2020,"교량","광진교",17336
2021,"교량","행주대교",106107
2021,"교량","가양대교",116359
2021,"교량","성산대교",149746
2021,"교량","양화대교",131875
2021,"교량","서강대교",43957
2021,"교량","마포대교",110185
2021,"교량","원효대교",52271
2021,"교량","한강대교",91649
2021,"교량","동작대교",56332
2021,"교량","반포대교",88274
2021,"교량","잠수교",22887
2021,"교량","한남대교",181307
2021,"교량","동호대교",69740
2021,"교량","성수대교",125260
2021,"교량","영동대교",120822
2021,"교량","청담대교",124471
2021,"교량","잠실대교",95561
2021,"교량","올림픽대교",69034
2021,"교량","천호대교",70138
2021,"교량","광진교",16778
2018,"간선","진흥로(구기터널)",46704
2018,"간선","평창문화로(북악터널)",45746
2018,"간선","동호로(금호터널)",68451
2018,"간선","서빙고로(한남역)",92374
2018,"간선","천호대로(군자교)",88166
2018,"간선","뚝섬로(용비교)",69442
2018,"간선","동일로(군자교)",69925
2018,"간선","화랑로(상월곡역)",70994
2018,"간선","동소문로(길음교사거리)",59831
2018,"간선","화랑로(화랑대역)",68491
2018,"간선","도봉로(쌍문역)",47962
2018,"간선","동부간선도로(월계1교)",120185
2018,"간선","동일로(노원역)",44400
2018,"간선","증산로(디지털미디어시티역)",72467
2018,"간선","통일로(산골고개정류장)",67131
2018,"간선","성산로(연희IC)",81827
2018,"간선","연희로(연희IC)",37407
2018,"간선","남부순환도로(화곡로입구교차로)",73750
2018,"간선","남부순환로(신월IC)",112480
2018,"간선","강서로(화곡터널)",39923
2018,"간선","공항대로(발산역)",55298
2018,"간선","경인로(오류IC)",50370
2018,"간선","경인로(거리공원입구교차로)",54116
