측정월,airpol_nm,volume
200001,아황산가스,0.008
200001,일산화탄소,1.3
200001,이산화질소,0.035
200001,미세먼지,57
200001,오존,0.011
200002,아황산가스,0.009
200002,일산화탄소,1.4
200002,이산화질소,0.034
200002,미세먼지,63
200002,오존,0.014
200003,아황산가스,0.008
200003,일산화탄소,1.1
200003,이산화질소,0.039
200003,미세먼지,80
200003,오존,0.018
200004,아황산가스,0.006
200004,일산화탄소,0.8
200004,이산화질소,0.035
200004,미세먼지,79
200004,오존,0.023
200005,아황산가스,0.006
200005,일산화탄소,0.7
200005,이산화질소,0.037
200005,미세먼지,69
200005,오존,0.023
200006,아황산가스,0.006
200006,일산화탄소,0.7
200006,이산화질소,0.036
200006,미세먼지,79
200006,오존,0.026
200007,아황산가스,0.005
200007,일산화탄소,0.7
200007,이산화질소,0.026
200007,미세먼지,64
200007,오존,0.025
200008,아황산가스,0.004
200008,일산화탄소,0.6
200008,이산화질소,0.021
200008,미세먼지,36
200008,오존,0.015
200009,아황산가스,0.005
200009,일산화탄소,0.8
200009,이산화질소,0.029
200009,미세먼지,43
200009,오존,0.017
200010,아황산가스,0.006
200010,일산화탄소,1.1
200010,이산화질소,0.037
200010,미세먼지,65
200010,오존,0.011
200011,아황산가스,0.007
200011,일산화탄소,1.1
200011,이산화질소,0.041
200011,미세먼지,73
200011,오존,0.009
200012,아황산가스,0.007
200012,일산화탄소,1.2
200012,이산화질소,0.042
200012,미세먼지,71
200012,오존,0.009
201001,아황산가스,0.008
201001,일산화탄소,0.8
201001,이산화질소,0.044
201001,미세먼지,59
201001,오존,0.011
201002,아황산가스,0.006
201002,일산화탄소,0.7
201002,이산화질소,0.039
201002,미세먼지,50
201002,오존,0.016
201003,아황산가스,0.005
201003,일산화탄소,0.5
201003,이산화질소,0.032
201003,미세먼지,61
201003,오존,0.024
201004,아황산가스,0.004
201004,일산화탄소,0.5
201004,이산화질소,0.035
201004,미세먼지,49
201004,오존,0.026
201005,아황산가스,0.005
201005,일산화탄소,0.5
201005,이산화질소,0.035
201005,미세먼지,56
201005,오존,0.03
201006,아황산가스,0.004
201006,일산화탄소,0.4
201006,이산화질소,0.035
201006,미세먼지,51
201006,오존,0.033
201007,아황산가스,0.004
201007,일산화탄소,0.4
201007,이산화질소,0.024
201007,미세먼지,33
201007,오존,0.023
201008,아황산가스,0.004
