측정월,측정소명,이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스(ppm),미세먼지(㎍/㎥),초미세먼지(㎍/㎥)
200001,강남구,0.037,0.01,0.2,0.005,6,
200001,강동구,0.035,0.009,0.8,0.005,64,
200001,강북구,0.049,0.003,1.1,0.012,78,
200001,강서구,0.036,0.009,0.8,0.005,42,
200001,관악구,0.01,0.018,0.1,0.004,,
200001,광진구,0.027,0.007,0.8,0.006,20,
200001,구로구,0.038,0.011,0.8,0.005,41,
200001,구로구2,0.029,0.015,0.8,0.004,60,
200001,금천구,0.039,0.006,1.1,0.007,49,
200001,노원구,0.039,0.021,0.8,0.006,64,
200001,도봉구,0.029,0.016,0.9,0.01,58,
200001,도산대로,0.057,0.007,1.4,0.007,47,
200001,동대문구,0.044,0.009,0.1,0.007,5,
200001,동작구,0.037,0.002,0.9,0.009,54,
200001,마포구,0.018,0.012,0.1,0.007,5,
200001,서대문구,,,,,,
200001,서초구,0.04,0.01,0.8,0.007,36,
200001,성동구,0.036,0.003,0.9,0.003,75,
200001,성북구,0.018,0.015,0,0.011,,
200001,송파구,0.035,0.011,0.7,0.007,43,
200001,송파구2,0.037,0.013,0.1,0.009,4,
200001,신촌로,0.044,0.007,1.5,0.008,75,
200001,양천구,0.037,0.005,1.1,0.005,63,
200001,영등포구,0.06,0.014,0.1,0.009,7,
200001,영등포로,0.055,,1.6,,56,
200001,용산구,0.037,0.01,1.3,0.007,,
200001,은평구,0.029,0.019,0.2,0.009,5,
200001,종로구,0.042,0.006,1.6,0.007,64,
200001,중구,0.032,0.013,0.2,0.011,5,
200001,중랑구,0.039,0.011,0.2,0.01,9,
200001,천호대로,,,,,,
200001,청계천로,0.073,,1,,46,
200001,한강대로,,,,,,
200001,홍릉로,0.073,,1.5,,60,
200001,홍지문,,,,,,
200002,강남구,0.047,0.01,1.9,0.009,97,
200002,강동구,0.041,0.01,1,0.007,74,
200002,강북구,0.046,0.011,1.1,0.017,88,
200002,강서구,0.037,0.012,0.8,0.006,49,
200002,관악구,0.042,0.022,1.2,0.008,,
200002,광진구,0.041,0.013,0.7,0.006,71,
200002,구로구,0.039,0.013,0.5,0.007,46,
200002,구로구2,0.03,0.014,0.6,0.004,62,
200002,금천구,0.045,0.007,1,0.008,50,
200002,노원구,0.04,0.026,0.9,0.007,67,
200002,도봉구,0.029,0.019,0.9,0.011,56,
200002,도산대로,0.057,0.008,1.5,0.009,52,
200002,동대문구,0.046,0.014,1.2,0.007,84,
200002,동작구,0.029,0.009,0.8,0.011,59,
200002,마포구,0.05,0.009,1,0.008,96,
200002,서대문구,0.043,0.01,0.9,0.007,47,
200002,서초구,0.039,0.012,0.9,0.009,53,
200002,성동구,0.04,0.008,0.8,0.004,73,
200002,성북구,0.051,0.018,1.6,0.015,,
200002,송파구,0.037,0.015,0.8,0.008,45,
200002,송파구2,0.057,0.013,1,0.01,61,
200002,신촌로,0.052,0.008,1.6,0.012,79,
200002,양천구,0.038,0.012,1.4,0.005,70,
200002,영등포구,0.04,0.012,2,0.01,51,
200002,영등포로,0.059,,1.6,,50,
200002,용산구,0.024,0.014,1.2,0.008,,
200002,은평구,0.037,0.014,1.2,0.009,45,
200002,종로구,0.046,0.015,1.3,0.009,71,
200002,중구,0.027,0.01,1.6,0.009,58,
200002,중랑구,0.043,0.016,1.9,0.01,94,
200002,천호대로,,,,,,
200002,청계천로,0.079,,1.2,,54,
200002,한강대로,,,,,,
200002,홍릉로,0.076,,1.5,,64,
200002,홍지문,,,,,,
200003,강남구,0.039,0.019,1.5,0.006,,
200003,강동구,0.043,0.017,1.1,0.006,93,
200003,강북구,0.049,0.018,1,0.01,119,
200003,강서구,0.039,0.016,0.7,0.005,65,
200003,관악구,0.007,0.033,0.8,0.005,,
200003,광진구,0.045,0.017,0.6,0.006,101,
200003,구로구,0.04,0.017,0.5,0.007,61,
200003,구로구2,0.04,0.021,0.6,0.006,95,
200003,금천구,0.047,0.007,0.9,0.007,81,
200003,노원구,0.044,0.026,0.8,0.009,96,
200003,도봉구,0.034,0.025,0.9,0.009,55,
200003,도산대로,0.059,0.012,1.8,0.011,63,
200003,동대문구,0.046,0.01,2.1,0.005,,
200003,동작구,0.025,0.011,1,0.008,79,
200003,마포구,0.016,0.02,1.4,0.006,,
200003,서대문구,0.046,0.013,0.8,0.008,61,
200003,서초구,0.041,0.021,0.7,0.008,74,
200003,성동구,0.051,0.009,0.7,0.008,101,
200003,성북구,0.028,0.026,1.2,0.011,,
