"year","gu_nm","key1","key2","lot_ct","area_total","jiga_total","jiga_avg"
2013,"마포구","용도지역","개발제한구역",47,90585,43767702000,483167
2013,"송파구","용도지역","개발제한구역",598,973528.8,431591397200,443327
2013,"강서구","용도지역","개발제한구역",7185,16907830.2,6326715319100,374188
2013,"강동구","용도지역","개발제한구역",3939,7559321,1954630816200,258572
2013,"구로구","용도지역","개발제한구역",1173,3315285.6,793627384600,239384
2013,"강남구","용도지역","개발제한구역",2850,6704259.9,1428669036500,213099
2013,"중랑구","용도지역","개발제한구역",1427,4618343,664218194400,143822
2013,"서초구","용도지역","개발제한구역",6920,20379151.5,2618002309300,128465
2013,"노원구","용도지역","개발제한구역",1159,15977796.7,1208021922840,75606
2013,"양천구","용도지역","개발제한구역",150,975203.5,70513001950,72306
2013,"은평구","용도지역","개발제한구역",2613,12670943.1,664726544850,52461
2013,"도봉구","용도지역","개발제한구역",1561,9440158.6,479429844690,50786
2013,"광진구","용도지역","개발제한구역",187,2028462.2,101566324640,50071
2013,"성북구","용도지역","개발제한구역",309,5667318.7,272038037800,48001
2013,"서대문구","용도지역","개발제한구역",435,1694768.2,66000598190,38944
2013,"강북구","용도지역","개발제한구역",889,12000197,438231384110,36519
2013,"종로구","용도지역","개발제한구역",1491,8071695,275978933850,34191
2013,"관악구","용도지역","개발제한구역",135,7508144,227925307400,30357
2013,"금천구","용도지역","개발제한구역",254,1706772.5,46698857810,27361
2013,"마포구","용도지역","근린상업지역",260,83597.3,879737047000,10523510
2013,"서대문구","용도지역","근린상업지역",42,3799.4,39889181000,10498811
2013,"동작구","용도지역","근린상업지역",145,29610.9,175646344000,5931814
2013,"강동구","용도지역","근린상업지역",154,87570.8,479004904600,5469916
2013,"영등포구","용도지역","근린상업지역",239,47723.2,239807110000,5024959
2013,"양천구","용도지역","근린상업지역",197,61510.6,305592244000,4968123
2013,"금천구","용도지역","근린상업지역",104,46293.2,229696735900,4961781
2013,"중랑구","용도지역","근린상업지역",401,99521.2,427516206000,4295730
2013,"성동구","용도지역","근린상업지역",76,2862.1,11774839000,4114056
2013,"동대문구","용도지역","근린상업지역",301,60134.9,235764128000,3920587
2013,"강서구","용도지역","근린상업지역",612,77764.8,273922201000,3522445
2013,"도봉구","용도지역","근린상업지역",25,18308,56676261000,3095710
2013,"은평구","용도지역","근린상업지역",493,95393.6,284665161900,2984112
2013,"성북구","용도지역","근린상업지역",277,62968,180103560000,2860239
2013,"용산구","용도지역","보전녹지지역",49,70367,51287293000,728854
2013,"구로구","용도지역","생산녹지지역",5,676,1088840000,1610710
2013,"강서구","용도지역","생산녹지지역",134,208979.3,191358090800,915680
2013,"송파구","용도지역","생산녹지지역",242,459617.4,89021840000,193687
2013,"강남구","용도지역","생산녹지지역",158,75741,8424652500,111230
2013,"송파구","용도지역","유통상업지역",43,1107111.6,7636228579000,6897433
2013,"동작구","용도지역","유통상업지역",27,36811,204836310000,5564541
2013,"마포구","용도지역","유통상업지역",51,51331.9,205875008000,4010664
2013,"성동구","용도지역","유통상업지역",17,63331.5,178387669800,2816729
2013,"동대문구","용도지역","유통상업지역",7,20759.5,57932495200,2790650
2013,"강서구","용도지역","유통상업지역",19,248253.7,550037922400,2215628
2013,"강남구","용도지역","일반상업지역",2726,2153402.8,34725170635000,16125720
2013,"서초구","용도지역","일반상업지역",1272,1325306.8,16606217297000,12530093
2013,"송파구","용도지역","일반상업지역",639,1285336.4,15385558910000,11970064
2013,"중구","용도지역","일반상업지역",17041,3555171.3,35887517392600,10094455
2013,"종로구","용도지역","일반상업지역",13424,2817472.7,27717623843200,9837761
2013,"용산구","용도지역","일반상업지역",3817,1149713.7,9806855124000,8529824
2013,"서대문구","용도지역","일반상업지역",1205,278335.9,2351071573500,8446886
2013,"광진구","용도지역","일반상업지역",543,179415.9,1503010638400,8377243
2013,"강동구","용도지역","일반상업지역",1547,578501.9,4075948747000,7045696
2013,"동작구","용도지역","일반상업지역",1006,306370.1,2157991180000,7043740
2013,"관악구","용도지역","일반상업지역",1337,386368.6,2650971442400,6861250
2013,"마포구","용도지역","일반상업지역",1346,913777.7,5974733236000,6538498
2013,"성동구","용도지역","일반상업지역",874,380838.8,2355696940200,6185549
2013,"양천구","용도지역","일반상업지역",265,812605.6,4622599020000,5688613
2013,"영등포구","용도지역","일반상업지역",2655,2618880.1,14747385223600,5631180
2013,"은평구","용도지역","일반상업지역",1310,389014,2015189608300,5180250
2013,"강북구","용도지역","일반상업지역",815,238915.5,1172437432000,4907331
2013,"동대문구","용도지역","일반상업지역",2194,982713.3,4767562961200,4851428
2013,"금천구","용도지역","일반상업지역",316,101275.9,481991099600,4759189
2013,"성북구","용도지역","일반상업지역",1623,357874.6,1672973431900,4674748
2013,"도봉구","용도지역","일반상업지역",323,247617.6,1012142250800,4087521
2013,"구로구","용도지역","일반상업지역",942,553647.6,2217514416100,4005281
2013,"중랑구","용도지역","일반상업지역",477,233652.4,932450279200,3990758
2013,"강서구","용도지역","일반상업지역",1629,833965.3,3291408202300,3946697
2013,"노원구","용도지역","일반상업지역",295,584582.1,1684562541400,2881653
2013,"용산구","용도지역","자연녹지지역",344,4108281.9,6601409458700,1606854
2013,"송파구","용도지역","자연녹지지역",1673,9282460.3,9074974752500,977648
2013,"서초구","용도지역","자연녹지지역",1426,4525054.7,3389597375810,749073
2013,"은평구","용도지역","자연녹지지역",37,151157,102362272200,677192
2013,"강서구","용도지역","자연녹지지역",1753,5382691.2,3192348764240,593077
2013,"구로구","용도지역","자연녹지지역",725,1802875.3,1001409320280,555451
2013,"강남구","용도지역","자연녹지지역",1416,4597772.4,2220429555500,482936
2013,"성동구","용도지역","자연녹지지역",660,1723681.5,759396858500,440567
2013,"노원구","용도지역","자연녹지지역",1983,4822849.8,2025253095270,419929
2013,"동작구","용도지역","자연녹지지역",666,2273212.1,943466731400,415037
2013,"종로구","용도지역","자연녹지지역",421,2976175.2,1214026773860,407915
2013,"영등포구","용도지역","자연녹지지역",1149,8853601.5,3516271733000,397157
2013,"양천구","용도지역","자연녹지지역",628,3047057.7,1202188912680,394541
2013,"마포구","용도지역","자연녹지지역",1965,7821538.9,2909555402900,371993
2013,"광진구","용도지역","자연녹지지역",625,3259546.5,1029564389100,315861
2013,"성북구","용도지역","자연녹지지역",655,829762.3,239939670900,289167
2013,"강북구","용도지역","자연녹지지역",174,338495.8,95653951700,282585
2013,"금천구","용도지역","자연녹지지역",200,996627.6,275408219330,276340
2013,"강동구","용도지역","자연녹지지역",906,3322237.8,824978155740,248320
