"year","gu_nm","prps_nm","area"
2005,"종로구","제1종전용주거지역",1999649
2005,"종로구","제1종일반주거지역",3498753
2005,"종로구","제2종일반주거지역",2639685
2005,"종로구","제3종일반주거지역",708983
2005,"종로구","준주거지역",137120
2005,"종로구","일반상업지역",3730000
2005,"종로구","자연녹지지역",11195810
2005,"중구","제1종일반주거지역",2768888
2005,"중구","제2종일반주거지역",2096375
2005,"중구","제3종일반주거지역",1192125
2005,"중구","준주거지역",282612
2005,"중구","일반상업지역",3630000
2005,"용산구","제1종전용주거지역",350000
2005,"용산구","제1종일반주거지역",4104054
2005,"용산구","제2종일반주거지역",4216613
2005,"용산구","제3종일반주거지역",2408805
2005,"용산구","준주거지역",296123
2005,"용산구","일반상업지역",1400020
2005,"용산구","유통상업지역",80000
2005,"용산구","보전녹지지역",70000
2005,"용산구","자연녹지지역",8940000
2005,"성동구","제1종일반주거지역",1928571
2005,"성동구","제2종일반주거지역",4494814
2005,"성동구","제3종일반주거지역",1731837
2005,"성동구","준주거지역",467061
2005,"성동구","일반상업지역",208841
2005,"성동구","유통상업지역",10000
2005,"성동구","준공업지역",3220000
2005,"성동구","생산녹지지역",56248
2005,"성동구","자연녹지지역",4519663
2005,"광진구","제1종전용주거지역",45589
2005,"광진구","제1종일반주거지역",2325716
2005,"광진구","제2종일반주거지역",5812694
2005,"광진구","제3종일반주거지역",2618495
2005,"광진구","준주거지역",838112
2005,"광진구","일반상업지역",178894
2005,"광진구","준공업지역",40000
2005,"광진구","자연녹지지역",5397850
2005,"동대문구","제1종일반주거지역",2808971
2005,"동대문구","제2종일반주거지역",6217182
2005,"동대문구","제3종일반주거지역",3785326
2005,"동대문구","준주거지역",355033
2005,"동대문구","일반상업지역",856648
2005,"동대문구","근린상업지역",58653
2005,"동대문구","유통상업지역",18187
2005,"동대문구","자연녹지지역",120000
2005,"중랑구","제1종일반주거지역",1085534
2005,"중랑구","제2종일반주거지역",5844702
2005,"중랑구","제3종일반주거지역",2906368
2005,"중랑구","준주거지역",469000
2005,"중랑구","일반상업지역",110000
2005,"중랑구","근린상업지역",80000
2005,"중랑구","준공업지역",20000
2005,"중랑구","자연녹지지역",8010075
2005,"성북구","제1종전용주거지역",930000
2005,"성북구","제1종일반주거지역",4781962
2005,"성북구","제2종일반주거지역",6722498
2005,"성북구","제3종일반주거지역",3951019
2005,"성북구","준주거지역",513100
2005,"성북구","일반상업지역",838383
2005,"성북구","근린상업지역",62770
2005,"성북구","자연녹지지역",6754590
2005,"강북구","제1종일반주거지역",2455800
2005,"강북구","제2종일반주거지역",4150993
2005,"강북구","제3종일반주거지역",2054888
2005,"강북구","준주거지역",408320
2005,"강북구","일반상업지역",320000
2005,"강북구","자연녹지지역",14190000
2005,"도봉구","제1종일반주거지역",2267524
2005,"도봉구","제2종일반주거지역",4299225
2005,"도봉구","제3종일반주거지역",3064814
2005,"도봉구","준주거지역",267000
2005,"도봉구","일반상업지역",300000
2005,"도봉구","근린상업지역",27000
2005,"도봉구","준공업지역",1848000
2005,"도봉구","자연녹지지역",8776436
2005,"노원구","제1종일반주거지역",1262365
2005,"노원구","제2종일반주거지역",4096032
2005,"노원구","제3종일반주거지역",6504434
2005,"노원구","준주거지역",391209
2005,"노원구","일반상업지역",569744
2005,"노원구","자연녹지지역",22636217
2005,"은평구","제1종전용주거지역",25335
2005,"은평구","제2종전용주거지역",315503
2005,"은평구","제1종일반주거지역",3448612
2005,"은평구","제2종일반주거지역",7595986
2005,"은평구","제3종일반주거지역",2300421
2005,"은평구","준주거지역",1119451
2005,"은평구","일반상업지역",289908
2005,"은평구","근린상업지역",100000
2005,"은평구","자연녹지지역",14454730
2005,"서대문구","제1종전용주거지역",300000
2005,"서대문구","제1종일반주거지역",6679739
2005,"서대문구","제2종일반주거지역",5419544
2005,"서대문구","제3종일반주거지역",2816565
2005,"서대문구","준주거지역",315756
2005,"서대문구","일반상업지역",200050
2005,"서대문구","근린상업지역",10000
2005,"서대문구","자연녹지지역",1928401
2005,"마포구","제1종일반주거지역",938880
2005,"마포구","제2종일반주거지역",7330860
2005,"마포구","제3종일반주거지역",2919614
2005,"마포구","준주거지역",492990
2005,"마포구","일반상업지역",420000
2005,"마포구","근린상업지역",100000
2005,"마포구","유통상업지역",50000
2005,"마포구","자연녹지지역",11617655
2005,"양천구","제1종일반주거지역",1317831
2005,"양천구","제2종일반주거지역",5143740
2005,"양천구","제3종일반주거지역",5055978
2005,"양천구","준주거지역",346380
2005,"양천구","일반상업지역",560000
2005,"양천구","근린상업지역",48020
2005,"양천구","준공업지역",250000
2005,"양천구","자연녹지지역",4688051
2005,"강서구","제1종전용주거지역",166544
2005,"강서구","제1종일반주거지역",2651993
2005,"강서구","제2종일반주거지역",6670483
2005,"강서구","제3종일반주거지역",4673190
2005,"강서구","준주거지역",412686
2005,"강서구","일반상업지역",450000
2005,"강서구","근린상업지역",61796
2005,"강서구","유통상업지역",242482
2005,"강서구","준공업지역",1770000
